id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell,lysosome_signal_individual,cell_signal_total,lysosome_core_signal,cell_volume_um3,lysosome_core_volume_um3,cell_id_serial,lys_id_serial
20,5.9500003,12.626935,13.094599,0.18822893500328064,0.3764578700065613,0.027934941379118554,11949,35,cell,4,4,1,757743.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,1
21,7.31,22.362854,13.987412,0.22150222957134247,0.44300445914268494,0.04552216571909262,12019,43,cell,3,3,10,1316213.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,10
22,9.86,0.6802389,15.43292,0.19892337918281555,0.3978467583656311,0.03297206093016234,11376,58,cell,0,0,0,1017527.0,0.0,0.0,0.0,0.0,0,0
23,6.46,7.6101727,27.84728,0.22596435248851776,0.4519287049770355,0.04832906617282437,11917,38,cell,5,5,1,1490479.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,1
24,6.9700003,13.859868,14.540107,0.1939798891544342,0.3879597783088684,0.03057445538387031,10960,41,cell,4,4,6,841480.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,6
25,5.1,21.6401,13.987412,0.29649117588996887,0.5929823517799377,0.10917518256453553,11950,30,cell,3,3,1,3121158.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,1
26,5.1,21.937704,13.987412,0.30276644229888916,0.6055328845977783,0.11625504863946065,12054,30,cell,3,3,2,3206030.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,2
27,9.18,16.240704,6.759874,0.22053326666355133,0.44106653332710266,0.04492736427881388,11175,54,cell,6,6,6,1492732.0,122872848.0,12707566.0,30.383370201744615,0.503321841750601,6,6
28,7.48,6.249695,25.42393,0.231791689991951,0.463583379983902,0.052165358348184636,10296,44,cell,5,5,6,1561602.0,138663.0,16941128.0,0.1161511942501387,0.5162275300006164,5,6
29,7.65,11.946695,14.285017,0.16581571102142334,0.3316314220428467,0.019097021712217842,10838,45,cell,4,4,9,393766.0,100568336.0,10171305.0,21.434504513525596,0.29406532512535116,4,9
30,9.690001,1.1053882,17.048487,0.334322988986969,0.668645977973938,0.15652630456237931,10384,57,cell,0,0,0,3514410.0,0.0,0.0,0.0,0.0,0,0
31,5.61,22.702974,14.157473,0.192717045545578,0.385434091091156,0.029981198964504407,13560,33,cell,3,3,4,960749.0,109873776.0,20329358.0,23.691770844111623,0.8201257604593126,3,4
32,9.52,0.21257466,17.516151,0.19984394311904907,0.39968788623809814,0.03343194008590322,10108,56,cell,0,0,0,956193.0,0.0,0.0,0.0,0.0,0,0
